"date","category_group","category","payee","amount","currency","notes","tags","account_name","original_name","transaction_id","type","parent_id","recurring_id","created_at"
"2026-01-31","🏠 Home","💼 Office","Amazon","-16.09","cad","8 GB micro sd for raspberry pi","","WS Visa","AMZN MKTP CA*JJ5YJ11S3","2351698143","","","","2026-02-06T02:26:35.142Z"
"2026-01-31","🏠 Home","🛠️ Home maintenance/improvements","Amazon","-10.21","cad","Small screwdriver set","","WS Visa","AMZN MKTP CA*OX5ZP1EP3","2351698142","","","","2026-02-06T02:26:35.142Z"
"2026-01-31","✈️ Travel/vacations","🏨 Hotels","AirBnb","-469.58","cad","","quebec city 2026","WS Visa","AIRBNB * HMHNDKM35F","2351698141","","","","2026-02-06T02:26:35.142Z"
"2026-01-31","🏠 Home","🍴 Kitchen and appliances","Amazon","-28.71","cad","Dishwasher pods","","WS Visa","AMAZON.CA*LH6ZV4E83","2351698140","","","","2026-02-06T02:26:35.142Z"
"2026-01-30","🛍️ Shopping and entertainment","🖥️ Software","Lunch Money","-50","cad","","","WS Visa","Lunch Money","2349648672","","","","2026-02-01T16:38:04.231Z"
"2026-01-30","💡 Utilities","🌐 Internet","Bell","-57.49","cad","","","WS Visa","","2347745795","recurring","","2289009","2026-01-28T13:55:01.805Z"
"2026-01-29","💡 Utilities","⚡ Electricity","Hydro-Quebec","-185.53","cad","","","WS Cash","","2349639227","recurring","","2289095","2026-02-01T16:05:23.938Z"
"2026-01-28","","🔄 Payments and transfer","Transfer","800","cad","","","TFSA","","2349640440","","","","2026-02-01T16:08:04.221Z"
"2026-01-28","","🔄 Payments and transfer","Transfer","-800","cad","","","WS Cash","","2349640102","","","","2026-02-01T16:07:39.594Z"
"2026-01-28","","☀️ Retirement","RRSP contribution","-750","cad","","","WS Cash","","2349640016","recurring","","2319209","2026-02-01T16:06:18.393Z"
"2026-01-28","","💵 Payroll","Basedash","4128.31","cad","Payroll","","WS Cash","","2349639230","recurring","","2289046","2026-02-01T16:05:43.550Z"
"2026-01-28","🛍️ Shopping and entertainment","🖥️ Software","Apple","-24.13","cad","Chess","","WS Visa","","2348181273","recurring","","2289007","2026-01-29T14:59:27.295Z"
"2026-01-28","🚗 Transportation","🚘 Car payment","Toyota","-400.56","cad","","","WS Cash","","2347744743","recurring","","2289083","2026-01-28T13:50:20.248Z"
"2026-01-28","🏠 Home","💵 Mortgage","Sociabank mortgage","-1536.5","cad","","","WS Cash","","2347744730","recurring","","2288196","2026-01-28T13:50:09.332Z"
"2026-01-27","🧴 Personal care","🏋️ General fitness","Personal trainer","-45","cad","","","WS Cash","Personal trainer","2347744979","","","","2026-01-28T13:50:55.648Z"
"2026-01-26","🛍️ Shopping and entertainment","🛍️ Gifts","MJ","-42.8","cad","Gift for Robert's birthday","mj","Splitwise","","2348187196","split","2348186659","","2026-01-29T15:13:09.170Z"
"2026-01-26","🍔 Food and Drinks","🛒 Groceries","SAQ","-23","cad","Milton ciders","mj","Splitwise","","2348187195","split","2348186659","","2026-01-29T15:13:09.170Z"
"2026-01-26","","🤝 Reimbursements/borrowing","MJ","65.8","cad","","mj","Splitwise","MJ","2348186704","","","","2026-01-29T15:09:47.710Z"
"2026-01-26","🚗 Transportation","🚕 Rideshare/taxi","Public transportation","-13.5","cad","Train and metro in MTL","","WS Visa","Public transportation","2346876872","","","","2026-01-26T12:40:51.995Z"
"2026-01-25","🏠 Home","🍴 Kitchen and appliances","Amazon","-34.48","cad","2L water jug","","WS Visa","Amazon","2346740765","","","","2026-01-26T00:41:13.698Z"
"2026-01-25","🍔 Food and Drinks","🛒 Groceries","Grocery store","-20.21","cad","","","WS Visa","","2346711974","split","2346711937","","2026-01-25T22:14:44.268Z"
"2026-01-25","","🤝 Reimbursements/borrowing","Grocery store","-8.33","cad","","mj","WS Visa","","2346711973","split","2346711937","","2026-01-25T22:14:44.268Z"
"2026-01-24","🍔 Food and Drinks","🛒 Groceries","Costco","-161.52","cad","","","Roger's MC","","2346409893","","","","2026-01-24T21:17:01.603Z"
"2026-01-24","🍔 Food and Drinks","🛒 Groceries","Grocery store","-43.22","cad","","","WS Visa","Grocery store","2346409762","","","","2026-01-24T21:15:14.347Z"
"2026-01-23","","🤝 Reimbursements/borrowing","Simon Quintal","25","cad","","","RBC Chequing","Simon Quintal","2350584992","","","","2026-02-03T13:21:15.163Z"
"2026-01-23","","🔄 Payments and transfer","Transfer","969.95","cad","","","Roger's MC","Transfer","2345921062","","","","2026-01-23T15:55:40.899Z"
"2026-01-23","","🔄 Payments and transfer","Transfer","-969.95","cad","","","WS Cash","Transfer","2345921061","","","","2026-01-23T15:55:40.810Z"
"2026-01-20","🏠 Home","🍴 Kitchen and appliances","Amazon","-26.17","cad","Expresso descaler","","WS Visa","Amazon","2345922004","","","","2026-01-23T15:56:22.829Z"
"2026-01-20","","🤝 Reimbursements/borrowing","Simon Quintal","-25","cad","","","WS Visa","","2344770065","split","2344769917","","2026-01-20T15:48:33.808Z"
"2026-01-20","🧴 Personal care","⚽ Sports","Marcotte Sports","-26.74","cad","","pickleball","WS Visa","","2344770064","split","2344769917","","2026-01-20T15:48:33.808Z"
"2026-01-20","🧴 Personal care","🏋️ General fitness","Personal trainer","-45","cad","","","WS Cash","Personal trainer","2344769340","","","","2026-01-20T15:42:31.458Z"
"2026-01-18","🍔 Food and Drinks","🛒 Groceries","Grocery store","-16.19","cad","Ingredients for supper and muffin's at MJ's","","WS Visa","Grocery store","2344263311","","","","2026-01-19T13:52:40.318Z"
"2026-01-17","🍔 Food and Drinks","🛒 Groceries","SAQ","-16","cad","Ciders for party","","WS Visa","SAQ","2343936055","","","","2026-01-18T15:37:34.326Z"
